G:U	21	H_qe/H_qe	cis-W/W	3
G:A	21	H_qe/H	cis-W/W	2
C:G	21	H_qe/H_qe	cis-W/W	2
C:C	21	H_e/H_e	cis-W/W	2
U:G	20	H/H	cis-W/W	4
U:C	20	H_e/H_e	NA	1
U:A	20	H_qe/H	trans-W/H	3
U:A	20	H/H	cis-W/W	2
G:A	20	H_qe/H	NA	2
G:A	20	H_e/H_e	trans-S/H	1
C:G	20	H/H	cis-W/W	1
A:U	20	H_i/H	cis-W/W	2
A:U	20	H/H	cis-W/W	2
A:G	20	H/H_qe	trans-H/S	2
A:A	20	H/H	cis-W/W	1
G:U	19	H_qe/H_qe	cis-W/W	2
G:C	19	H_e/H_e	cis-W/W	4
A:G	19	H_qe/H	NA	2
A:A	19	H_qe/H	trans-H/H	1
A:A	19	H_i/H_i	trans-H/H	1
U:G	18	H_qe/H_qe	cis-W/W	2
U:C	18	H_qe/H	trans-S/H	2
G:U	18	H_i/H_qe	NA	2
C:U	18	H/H	trans-W/S	1
C:C	18	H_e/H_e	cis-W/W	1
A:A	18	H_e/H_ie	NA	2
U:U	17	H/H	cis-W/W	3
G:A	17	H/H_qe	cis-W/W	2
C:U	17	H/H	trans-H/S	1
A:G	17	H_e/H_e	NA	2
U:A	16	H_qe/H_i	trans-W/H	2
U:A	16	H_i/H_i	cis-W/W	1
U:A	16	H_e/H_e	trans-S/S	4
G:G	16	H_qe/H_i	NA	3
G:C	16	H_ie/H_ie	trans-W/W	2
G:A	16	H/H	NA	2
G:A	16	H/H	cis-W/W	3
C:G	16	H/H	NA	2
A:U	16	H_i/H_qe	trans-H/W	2
A:U	16	H/H	trans-H/W	2
A:G	16	H_qe/H	trans-H/S	2
A:C	16	H/H_qe	cis-W/S	1
A:A	16	H/H_qe	cis-W/S	2
U:G	15	H_qe/H	trans-H/W	1
PSU:G	15	H_e/H_ie	trans-S/W	2
G:C	15	H_qe/H_qe	cis-W/W	2
A:A	15	H_qe/H_i	cis-S/H	1
U:A	14	H/H	trans-W/H	2
U:A	14	H_e/H_e	cis-W/W	1
